Name,BoroCode,open_year_round,Latitude,Longitude,place_id
Mathew Muliner Playground,2,Yes,40.846886,-73.86148,ChIJIQeRMKP0wokRGXP_Wj5cjps
McCaffrey Playground,1,Yes,40.75895,-73.991325,ChIJ978QqVNYwokRJAZNUDHfxBY
McDonald Playground,3,Yes,40.600685,-73.97216999999998,ChIJv-USG_pEwokRXoFXqO8V2uE
Mellett Playground,3,Yes,40.59696,-73.95738,ChIJ3WEZbYtEwokR9Pn427UsDs4
Morningside Park,1,Yes,40.80509,-73.95913,ChIJZ9134BX2wokRt92hotTSVe0
Morningside Park,1,Yes,40.80509,-73.95913,ChIJZ9134BX2wokRt92hotTSVe0
Morningside Playground,1,Yes,40.78406500000001,-73.92546999999998,ChIJlfpGnldfwokR6IvDn8ea1ms
Mott Playground,2,Yes,40.83132,-73.914856,ChIJ1x9KUDb0wokRCaD4kNu2dr4
Mt. Prospect Park,3,Yes,40.672714,-73.96725500000002,ChIJd7iXmQlbwokR8dF5ivoy3_Y
Murray Playground,4,No,40.747284,-73.948654,ChIJ3SO2MCZZwokR2jBo9akeoXA
Nelson Playground,2,Yes,40.8349,-73.92698,ChIJoxkxny_0wokRbftzdtljYPQ
