FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
D,POINT (-73.83875370361937 40.744821073391776),Out in Open,Flushing Meadows Corona Park,4,Active,40.74482107,-73.8387537
E Wheelchair,POINT (-73.99004689480086 40.694145048005225),Out in Open,Korean War Veterans Plaza,3,Active,40.69414505,-73.99004689
Bottle Filler High Low,POINT (-73.93755297157146 40.60686686955961),Near Ballfield,Marine Park,3,Active,40.60686687,-73.93755297
F,POINT (-73.92176540804532 40.74726043475831),"Under Tree, Just Outside Playground",Torsney Playground,4,Active,40.74726043,-73.92176541
E Wheelchair,POINT (-73.99765615667471 40.73031601946951),Under Tree,Washington Square Park,1,Active,40.73031602,-73.99765616
E Wheelchair,POINT (-73.97548830367985 40.77616189874956),"Under Tree, Out in Open, In Shade",Central Park,1,Active,40.7761619,-73.9754883
Pedestal,POINT (-73.91592932001524 40.792732583740595),"Out in Open, Near Ballfield",Randall's Island Park,1,Active,40.79273258,-73.91592932
Bottle Filler,POINT (-73.94160240562599 40.79701195383356),"Near Ballfield, Just Outside Playground",James Weldon Johnson Playground,1,Active,40.79701195,-73.94160241
C,POINT (-73.85509169909254 40.760257849947095),Under tree,Grand Central Parkway Extension,4,Active,40.76025785,-73.8550917
A,POINT (-74.08219502316028 40.574736377490574),Near Ballfield,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.57473638,-74.08219502
E Wheelchair,POINT (-73.97944009542248 40.791563817459426),"Out in Open, Under Tree",Riverside Park,1,Active,40.79156382,-73.97944009999998
A,POINT (-74.0171161758236 40.60619700135132),Near Ballfield,Dyker Beach Park,3,Active,40.606197,-74.01711618
D,POINT (-73.99327813311575 40.768385164897815),Near Ballfield,De Witt Clinton Park,1,Active,40.76838516,-73.99327813
Bottle Filler Fountain,POINT (-73.976948164817 40.66139182547216),"Out in Open, Near Ballfield",Prospect Park,3,Active,40.66139183,-73.97694816
A,POINT (-73.89458858001399 40.837264037108845),Out in Open,Crotona Park,2,Active,40.83726404,-73.89458858
A,POINT (-73.74720960593241 40.74187866097597),Out in Open,Alley Pond Park,4,Active,40.74187866,-73.74720961
Other,POINT (-73.97379949860614 40.76911733151658),"Under Tree, In Shade, Out in Open",Central Park,1,Active,40.76911733,-73.9737995
A,POINT (-73.90618328412984 40.655666353387566),"Under Tree, Near Ballfield, In Shade",Osborn Playground,3,Active,40.65566635,-73.90618328
C,POINT (-73.85610200061454 40.70165017959882),Just Outside Playground,Forest Park,4,Active,40.70165018,-73.856102
F High Low Dog,POINT (-73.87364841752691 40.8270554067748),"In Playground, Near Ballfield",Bronx River Parkway,2,Active,40.82705541,-73.87364842
A,POINT (-73.82139912223231 40.71216436215226),In Playground,Hoover - Manton Playgrounds,4,Active,40.71216436,-73.82139912
C,POINT (-73.91204602972445 40.710535295152155),Near Ballfield,Grover Cleveland Playground,4,Active,40.7105353,-73.91204603
C,POINT (-73.77116817986219 40.75706196853995),In Playground,Marie Curie Park,4,Active,40.75706197,-73.77116818
C,POINT (-73.99604941360941 40.571620731387625),"Under Tree, In Shade, In Playground",Nautilus Playground,3,Active,40.57162073,-73.99604941
C,POINT (-73.79396963623299 40.76585116609915),"Under Tree, In Playground",Auburndale Playground,4,Active,40.76585117,-73.79396964
A,POINT (-73.8215463787203 40.7463531106793),"Under Tree, In Shade, In Playground",Kissena Corridor Park,4,Active,40.74635311,-73.82154638
Trough,POINT (-73.99084611065203 40.728739273506626),Out in Open,Cooper Triangle,1,Active,40.72873927,-73.99084611
D,POINT (-73.94917457108089 40.70243757356385),"Out in Open, In Playground",De Hostos Playground,3,Active,40.70243757,-73.94917457
D,POINT (-73.81730890854168 40.77427514457948),Near Ballfield,Flushing Fields,4,Active,40.77427514,-73.81730891
D,POINT (-73.92522846327041 40.77695798776511),"Near Ballfield, Under Tree, Out in Open",Astoria Park,4,Active,40.77695799,-73.92522846
C,POINT (-73.7781429804323 40.693089869594765),Out in Open,St. Albans Park,4,Active,40.69308987,-73.77814298
Other,POINT (-73.99152089046329 40.70972577727045),"In Shade, Near Ballfield",East River Waterfront Esplanade,1,Active,40.70972578,-73.99152089
A,POINT (-73.94004501307276 40.82756364710671),"Near Ballfield, In Playground",Jackie Robinson Park,1,Active,40.82756365,-73.94004501
D,POINT (-74.03741659351324 40.62608702961401),Near Ballfield,Fort Hamilton Athletic Field,3,Active,40.62608703,-74.03741659
C,POINT (-73.9461571402069 40.685746313775304),"Near Ballfield, In Playground",Hattie Carthan Playground,3,Active,40.68574631,-73.94615714
Bottle Filler,POINT (-73.92807860273928 40.77060731341977),In Playground,Van Alst Playground,4,Active,40.77060731,-73.92807859999998
A,POINT (-73.80879008824664 40.79218815839475),"Under Tree, In Shade, Near Ballfield",Whitestone Playground,4,Active,40.79218816,-73.80879009
CS Concrete,POINT (-73.93140483920845 40.64793480360242),"Out in Open, In Playground",Tilden Playground,3,Active,40.6479348,-73.93140484
C,POINT (-73.84241709478401 40.75103432046998),Out in Open,Flushing Meadows Corona Park,4,Active,40.75103432,-73.84241709
Trough,POINT (-73.8983006952694 40.886777526462254),"Under Tree, In Playground",Van Cortlandt Park,2,Active,40.88677753,-73.8983007
Trough,POINT (-73.81318972976997 40.58381271347718),Out in Open,Rockaway Beach Boardwalk,4,Active,40.58381271,-73.81318973
D,POINT (-73.90552996600913 40.887815343228084),Under Tree,MacLaughlin Playground,2,Active,40.88781534,-73.90552997
A,POINT (-73.76960614625064 40.68602838592829),In Playground,Roy Wilkins Recreation Center,4,Active,40.68602839,-73.76960615
