FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
A,POINT (-73.9132083046943 40.6625548545383),Near Ballfield,Betsy Head Park,3,Active,40.66255485,-73.9132083
E Wheelchair,POINT (-73.96196255557041 40.67101466399125),Out in Open,Dr. Ronald McNair Park,3,Active,40.67101466,-73.96196256
D,POINT (-73.87842152985608 40.757447030140675),"Out in Open, In Playground",Playground Ninety,4,Active,40.75744703,-73.87842153
D,POINT (-73.83730141184537 40.777457844967664),"Near Ballfield, Out in Open",College Point Fields,4,Active,40.77745784,-73.83730141
Other,POINT (-73.92964775718107 40.82824022677712),In Shade,Macombs Dam Park,2,Active,40.82824023,-73.92964776
A,POINT (-73.97526101664279 40.71643691957038),Near Ballfield,John V. Lindsay East River Park,1,Active,40.71643692,-73.97526102
F,POINT (-73.97770491383324 40.69660471077959),Out in Open,Commodore Barry Park,3,Active,40.69660471,-73.97770491
Other,POINT (-73.87735242506082 40.81850775300478),Near Ballfield,Soundview Park,2,Active,40.81850775,-73.87735243
C,POINT (-73.87022953901621 40.85296114551734),Near Ballfield,Bronx Park,2,Active,40.85296115,-73.87022954
D,POINT (-74.21046797667749 40.53346719801691),Near Ballfield,Bloomingdale Park,5,Active,40.5334672,-74.21046798
A,POINT (-73.89427995713417 40.629786676948655),"Out in Open, Near Ballfield",Canarsie Park,3,Active,40.62978668,-73.89427996
A,POINT (-73.94580254364219 40.577042189500474),Near Ballfield,Manhattan Beach Park,3,Active,40.57704219,-73.94580254
C,POINT (-73.89037559733062 40.66783395075685),Just Outside Playground,Martin Luther King Jr. Playground,3,Active,40.66783395,-73.8903756
A,POINT (-74.10908883750442 40.643412512556026),Out in Open,Walker Park,5,Active,40.64341251,-74.10908884
A,POINT (-73.73547629951616 40.76180502827826),In Playground,Louis Pasteur Park,4,Active,40.76180503,-73.73547629999999
A,POINT (-74.0050223408008 40.72218729156363),Under Tree,Grand Canal Court,1,Active,40.72218729,-74.00502234
A,POINT (-73.93484242696265 40.825672863139445),"Under Tree, Near Ballfield, Just Outside Playground",Harlem Lane Playground,1,Active,40.82567286,-73.93484243
E Wheelchair Child,POINT (-73.95026771811152 40.79587760546497),In Playground,Central Park,1,Active,40.79587761,-73.95026772
E Wheelchair,POINT (-73.99514755516863 40.70056104601145),"Under Tree, In Playground, Out in Open",Harry Chapin Playground,3,Active,40.70056105,-73.99514756
A,POINT (-73.79618642561108 40.86545342210254),Under Tree,Pelham Bay Park,2,Active,40.86545342,-73.79618643
A,POINT (-73.97607726933502 40.649622491270826),In Playground,Greenwood Playground,3,Active,40.64962249,-73.97607727
D,POINT (-73.76698505929235 40.59891759694578),In Playground,Bayswater Park,4,Active,40.5989176,-73.76698506
A,POINT (-74.15662971527208 40.6057702848846),Near Ballfield,Willowbrook Park,5,Active,40.60577028,-74.15662972
C,POINT (-73.87756847917687 40.842933160839564),"Out in Open, Just Outside Playground",Bronx Park,2,Active,40.84293316,-73.87756848
C,POINT (-74.01388477930294 40.63298911594818),Near Ballfield,Quaker Parrot Park at the Dust Bowl,3,Active,40.63298912,-74.01388478
E Wheelchair,POINT (-73.91167265950735 40.61268593973935),"In Playground, Out in Open",Lindower Park,3,Active,40.61268594,-73.91167266
A,POINT (-73.76975862302353 40.77423172341098),Near Ballfield,John Golden Park,4,Active,40.77423172,-73.76975862
D,POINT (-73.8629957734205 40.82227756702896),,Story Playground,2,Active,40.82227757,-73.86299577
D,POINT (-73.98849687105196 40.712428931065645),"In Playground, Near Ballfield",Little Flower Playground,1,Active,40.71242893,-73.98849687
CS Metal,POINT (-73.9464262668979 40.81219581829237),"In Playground, Near Ballfield",St. Nicholas Playground North,1,Active,40.81219582,-73.94642627
E Wheelchair,POINT (-73.83600844958072 40.70937838511942),In Playground,Forest Park,4,Active,40.70937839,-73.83600845
A,POINT (-73.7739783165309 40.67462481529525),Near Ballfield,Rochdale Park,4,Active,40.67462482,-73.77397832
A,POINT (-73.90445432367005 40.72767935434862),"Under Tree, Near Ballfield",Frank Principe Park,4,Active,40.72767935,-73.90445432
C,POINT (-73.90537319622955 40.828922831793385),"Out in Open, Just Outside Playground",Hines Park,2,Active,40.82892283,-73.90537320000001
E Wheelchair,POINT (-73.89489022050692 40.88201572448634),Under Tree,Fort Independence Playground,2,Active,40.88201572,-73.89489022
C,POINT (-73.93318723393587 40.70235292683832),In Playground,Green Central Knoll,3,Active,40.70235293,-73.93318723
E Wheelchair,POINT (-73.94539035664808 40.57656950445442),Out in Open,Manhattan Beach Park,3,Active,40.5765695,-73.94539036
E Wheelchair,POINT (-73.923150181946 40.64410375455648),"Out in Open, Near Ballfield",Harry Maze Playground,3,Active,40.64410375,-73.92315018
Bottle Filler High Low,POINT (-73.88787174515127 40.83648879933417),"In Playground, Out in Open",Seabury Park,2,Active,40.8364888,-73.88787175
D,POINT (-73.75655682607899 40.67435833467638),Near Ballfield,Montbellier Park,4,Active,40.67435833,-73.75655683
E Wheelchair Dog,POINT (-73.96585182690701 40.789416324167966),Out in Open,Central Park,1,Active,40.78941632,-73.96585183
B,POINT (-73.84075592490258 40.888351212125784),In Playground,Seton Falls Park,2,Active,40.88835121,-73.84075592
A,POINT (-73.99265667410363 40.57363757038449),"Out in Open, In Playground",Surf Playground,3,Active,40.57363757,-73.99265667
D,POINT (-73.85046063751102 40.746214478635814),Under Tree,Flushing Meadows Corona Park,4,Active,40.74621448,-73.85046064
A,POINT (-73.7945012718252 40.593304194314705),Under Tree,Almeda Playground,4,Active,40.59330419,-73.79450127
A,POINT (-73.89052423750304 40.708103703281566),Near Ballfield,Mafera Park,4,Active,40.7081037,-73.89052424
E Wheelchair,POINT (-73.97274397500217 40.68363305244096),"Out in Open, Just Outside Playground",South Oxford Park,3,Active,40.68363305,-73.97274398
C,POINT (-73.94527586867196 40.77371356550851),In Playground,Carl Schurz Park,1,Active,40.77371357,-73.94527587
A,POINT (-73.80207342551354 40.85810346937851),Near Ballfield,Pelham Bay Park,2,Active,40.85810347,-73.80207343
B,POINT (-73.96936207843048 40.6681123659222),Out in Open,Prospect Park,3,Active,40.66811237,-73.96936208
D,POINT (-73.89700595588226 40.819599010526886),Near Ballfield,Rainey Park,2,Active,40.81959901,-73.89700596
A,POINT (-73.83512125855351 40.73004634039552),In Playground,Flushing Meadows Corona Park,4,Active,40.73004634,-73.83512126
E Wheelchair,POINT (-73.98640405715622 40.60856008921873),In Playground,Seth Low Playground/ Bealin Square,3,Active,40.60856009,-73.98640406
A,POINT (-74.03290067954666 40.61089027489939),"Under Tree, Out in Open",John Paul Jones Park,3,Active,40.61089027,-74.03290068
C,POINT (-74.00109053076194 40.74983945637899),"Under Tree, Near Ballfield, Just Outside Playground",Chelsea Park,1,Active,40.74983946,-74.00109053
C,POINT (-73.90434584350383 40.66459289612691),In Playground,Van Dyke Playground,3,Active,40.6645929,-73.90434584
E Wheelchair,POINT (-73.92515459577858 40.831480820351935),"Under Tree, Just Outside Playground",Mullaly Park,2,Active,40.83148082,-73.9251546
CS Concrete,POINT (-73.98931749455667 40.661317622131286),In Playground,Slope Park,3,Active,40.66131762,-73.98931749
A,POINT (-73.83852173354266 40.7463550664574),Out in Open,Flushing Meadows Corona Park,4,Active,40.74635507,-73.83852173
D,POINT (-73.90526586424946 40.81369316547002),"Out in Open, In Playground",Fountain Of Youth Playground,2,Active,40.81369317,-73.90526586
D,POINT (-74.20834896490956 40.535103973441934),Out in Open,Bloomingdale Park,5,Active,40.53510397,-74.20834896
CS Metal,POINT (-73.91875087428792 40.79294922446391),Out in Open,Randall's Island Park,1,Active,40.79294922,-73.91875087
A,POINT (-73.96647500796487 40.65290302493614),"Under Tree, Near Ballfield, In Shade",Parade Ground,3,Active,40.65290302,-73.96647501
A,POINT (-73.87251557218673 40.836864241639496),"Under Tree, In Playground, Near Ballfield",Noble Playground,2,Active,40.83686424,-73.87251557
A,POINT (-73.8101830024252 40.58478821753708),Just Outside Playground,Rockaway Beach Boardwalk,4,Active,40.58478822,-73.810183
E Wheelchair,POINT (-74.06678899596318 40.58863687498746),Out in Open,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.58863687,-74.066789
Pedestal,POINT (-74.01147740813184 40.71741130425181),Just Outside Playground,Washington Market Park,1,Active,40.7174113,-74.01147741
A,POINT (-73.8379059221793 40.732670879469744),Under Tree,Flushing Meadows Corona Park,4,Active,40.73267088,-73.83790592
CS Metal,POINT (-74.00788582878593 40.67275128746801),Out in Open,Red Hook Recreation Area,3,Active,40.67275129,-74.00788583
C,POINT (-73.92289369247226 40.84545770534748),In Playground,Sedgwick Playground,2,Active,40.84545771,-73.92289369
Other,POINT (-74.01671354245167 40.71596353437984),In Playground,Battery Park City,1,Active,40.71596353,-74.01671354
CS Metal,POINT (-73.95029426529608 40.80029860520761),"In Playground, Near Ballfield",Martin Luther King Jr. Playground,1,Active,40.80029861,-73.95029427
A,POINT (-73.73873863478524 40.74267036378039),Near Ballfield,Alley Pond Park,4,Active,40.74267036,-73.73873863
B,POINT (-73.95952166177251 40.791135426860606),"Under Tree, Out in Open",Central Park,1,Active,40.79113543,-73.95952166
E Wheelchair Dog,POINT (-73.99848101603448 40.73078903346151),Out in Open,Washington Square Park,1,Active,40.73078903,-73.99848102
A,POINT (-73.79107167361748 40.746192503621025),Near Ballfield,Kissena Corridor Park,4,Active,40.7461925,-73.79107167
E Wheelchair Child,POINT (-73.97225393608811 40.72440418000078),"Near Ballfield, Just Outside Playground",John V. Lindsay East River Park,1,Active,40.72440418,-73.97225394
A,POINT (-73.91245260952658 40.620254991429526),In Playground,Hickman Playground,3,Active,40.62025499,-73.91245261
E Wheelchair Dog,POINT (-73.92312665192559 40.70384460681453),Out in Open,Maria Hernandez Park,3,Active,40.70384461,-73.92312665
A,POINT (-74.00191947222133 40.680476335217065),In Playground,Dimattina Playground,3,Active,40.68047634,-74.00191947
C,POINT (-73.89425199701294 40.824668559387156),In Playground,Tiffany Playground,2,Active,40.82466856,-73.89425200000002
A,POINT (-74.09552217864827 40.62493614382294),Under Tree,Silver Lake Park,5,Active,40.62493614,-74.09552218
E Wheelchair,POINT (-73.99710179936464 40.69784686094488),,Brooklyn Heights Promenade,3,Active,40.69784686,-73.9971018
Other,POINT (-73.88405191935165 40.76184701797881),Out in Open,Gorman Playground,4,Active,40.76184702,-73.88405192
F High Low,POINT (-73.8545132469689 40.75534253989655),Out in Open,Hinton Park,4,Active,40.75534254,-73.85451325
Other,POINT (-73.93030622080077 40.86198393002011),Under Tree,Fort Tryon Park,1,Active,40.86198393,-73.93030622
A,POINT (-73.99727546182108 40.71214363615534),"Just Outside Playground, Near Ballfield, Under Tree",Playground One,1,Active,40.71214364,-73.99727546
A,POINT (-73.9077173768043 40.64216613425601),"Out in Open, In Playground",Remsen Playground,3,Active,40.64216613,-73.90771738
C,POINT (-73.95411102183168 40.64805874457608),Out in Open,Lott Park,3,Active,40.64805874,-73.95411102
C,POINT (-73.79114371502683 40.86948453616277),Under Tree,Pelham Bay Park,2,Active,40.86948454,-73.79114372
B,POINT (-73.92956440427976 40.63259687374302),"Out in Open, In Playground",Kings Highway Malls,3,Active,40.63259687,-73.9295644
A,POINT (-73.89464934917804 40.83692298538118),"Under Tree, In Shade",Crotona Park,2,Active,40.83692299,-73.89464935
E Wheelchair Dog,POINT (-73.8933304952267 40.838727445107025),"In Shade, Under Tree",Crotona Park,2,Active,40.83872745,-73.8933305
B,POINT (-73.98258687855567 40.72612091975437),Just Outside Playground,Tompkins Square Park,1,Active,40.72612092,-73.98258688
E Wheelchair Child,POINT (-73.93799149011622 40.80252381503838),In Playground,Dr. Ronald E. McNair Playground,1,Active,40.80252382,-73.93799149
A,POINT (-73.88707453457094 40.65544752610989),Under Tree,Ethan Allen Playground,3,Active,40.65544753,-73.88707453
A,POINT (-73.85746695227745 40.69881672276019),In Shade,Forest Park,4,Active,40.69881672,-73.85746695
A,POINT (-73.91653504708512 40.885601306092425),Out in Open,Seton Park,2,Active,40.88560131,-73.91653505
E Wheelchair,POINT (-73.99916124377191 40.57180636647243),"Out in Open, Under Tree",Coney Island Beach & Boardwalk,3,Active,40.57180637,-73.99916124
E Wheelchair,POINT (-73.98816049413752 40.57218725767834),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57218726,-73.98816049
A,POINT (-73.80499501446975 40.73616513176233),Just Outside Playground,Electric Playground,4,Active,40.73616513,-73.80499501
E Wheelchair,POINT (-74.0850107815948 40.572962911199056),Out in Open,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.57296291,-74.08501078
E Wheelchair,POINT (-74.02054317392016 40.651657508126654),Near Ballfield,Bush Terminal Park,3,Active,40.65165751,-74.02054317
C,POINT (-73.73607761127337 40.67049779363526),Just Outside Playground,Laurelton Playground,4,Active,40.67049779,-73.73607761
C,POINT (-73.94631373954073 40.685542414243606),"Under Tree, In Playground",Hattie Carthan Playground,3,Active,40.68554241,-73.94631374
D,POINT (-73.90702155727483 40.863292641104245),Under Tree,Devoe Park,2,Active,40.86329264,-73.90702156
Pedestal,POINT (-73.91687013644776 40.79708318864024),"Near Ballfield, Out in Open",Randall's Island Park,1,Active,40.79708319,-73.91687014
Other,POINT (-74.00505200073523 40.704837880318244),In Shade,East River Waterfront Esplanade,1,Active,40.70483788,-74.005052
D,POINT (-73.95141488253765 40.82300621000365),"Under Tree, In Playground, Near Ballfield",Alexander Hamilton Playground,1,Active,40.82300621,-73.95141488
Other,POINT (-73.98941974210318 40.70414258465132),Out in Open,Brooklyn Bridge Park,3,Active,40.70414258,-73.98941974
E Wheelchair,POINT (-73.97724221849529 40.71276592484319),Near Ballfield,John V. Lindsay East River Park,1,Active,40.71276592,-73.97724222
E Wheelchair,POINT (-73.97358225548372 40.656401851374305),Under Tree,Prospect Park,3,Active,40.65640185,-73.97358226
A,POINT (-73.94208391352694 40.67859399833209),"Under Tree, In Playground",St. Andrew's Playground,3,Active,40.678594,-73.94208391
E Wheelchair Dog,POINT (-73.96925454048134 40.657617634504184),In Shade,Prospect Park,3,Active,40.65761763,-73.96925454
A,POINT (-73.91138633544215 40.81050346442929),"Out in Open, Near Ballfield",St. Mary's Park,2,Active,40.81050346,-73.91138634
A,POINT (-73.79830883793399 40.71138465036015),In Playground,Captain Tilly Park,4,Active,40.71138465,-73.79830884
D,POINT (-73.79665152372691 40.78377355274984),"Under Tree, In Playground",Willets Point Playground,4,Active,40.78377355,-73.79665152
D,POINT (-73.89828793978151 40.85733248476053),"Under Tree, In Playground",Slattery Playground,2,Active,40.85733248,-73.89828794
A,POINT (-73.90625197519773 40.65612066100503),"Under Tree, In Shade, In Playground",Osborn Playground,3,Active,40.65612066,-73.90625198
A,POINT (-73.8671858565258 40.70270633016788),Near Ballfield,Forest Park,4,Active,40.70270633,-73.86718586
A,POINT (-73.98920863565178 40.58286032410288),"Out in Open, Near Ballfield",Coney Island Boat Basin,3,Active,40.58286032,-73.98920864
A,POINT (-73.81011813254214 40.74766592007969),Out in Open,Kissena Park,4,Active,40.74766592,-73.81011813
A,POINT (-74.03628525307178 40.626859904154706),Near Ballfield,Fort Hamilton Athletic Field,3,Active,40.6268599,-74.03628525
A,POINT (-73.93591289665828 40.674695588837494),"Out in Open, Near Ballfield",St. John's Recreation Center,3,Active,40.67469559,-73.9359129
A,POINT (-73.78894176365253 40.668155185508844),Near Ballfield,Baisley Pond Park,4,Active,40.66815519,-73.78894176
C,POINT (-73.97443200732587 40.77267817060612),"Near Ballfield, Out in Open",Central Park,1,Active,40.77267817,-73.97443201
F High Low,POINT (-74.01761799859528 40.625436821980244),Near Ballfield,McKinley Park,3,Active,40.62543682,-74.017618
E Wheelchair,POINT (-73.9732989688266 40.76576420183602),Under Tree,Central Park,1,Active,40.76576420000001,-73.97329897
Other,POINT (-73.87400183696442 40.82801816620769),"Under Tree, Near Ballfield",Bronx River Parkway,2,Active,40.82801817,-73.87400184
E Wheelchair,POINT (-73.88297939630048 40.719946551929965),Near Ballfield,Juniper Valley Park,4,Active,40.71994655,-73.88297940000002
C,POINT (-73.77450281763456 40.72795585890176),"Near Ballfield, Out in Open",Cunningham Park,4,Active,40.72795586,-73.77450282
A,POINT (-73.96483295116526 40.66961534319698),In Playground,Brooklyn Botanic Garden,3,Active,40.66961534,-73.96483295
E Wheelchair Dog,POINT (-73.98093044648789 40.78993544378791),"Under Tree, Out in Open",Riverside Park,1,Active,40.78993544,-73.98093045
A,POINT (-73.97007384776145 40.80303780506376),"Under Tree, Out in Open",Riverside Park,1,Active,40.80303781,-73.97007385
C,POINT (-73.87484014144907 40.75577769079299),"Under Tree, Near Ballfield",Northern Playground,4,Active,40.75577769,-73.87484014
Other,POINT (-73.7208294252021 40.74990107463754),In Playground,Castlewood Playground,4,Active,40.74990107,-73.72082943
E High Low,POINT (-73.97478911821095 40.66070277285242),"Out in Open, Near Ballfield",Prospect Park,3,Active,40.66070277,-73.97478912
CS Concrete,POINT (-73.93346590211226 40.75770562207096),"In Shade, Just Outside Playground",Dutch Kills Playground,4,Active,40.75770562,-73.93346590000002
Trough,POINT (-73.82555497240985 40.58052768600137),Out in Open,Rockaway Beach Boardwalk,4,Active,40.58052769,-73.82555497
C,POINT (-74.09088183603129 40.568482965531906),Out in Open,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.56848297,-74.09088184
C,POINT (-73.99271036252497 40.76292237016201),"Under Tree, In Playground, Near Ballfield",Hell's Kitchen Park,1,Active,40.76292237,-73.99271036
B,POINT (-73.98138844845205 40.71958841912579),"Under Tree, Near Ballfield, In Playground",Hamilton Fish Park,1,Active,40.71958842,-73.98138845
A,POINT (-74.02410905272394 40.64014270133068),"In Shade, Just Outside Playground",John Allen Payne Park,3,Active,40.64014270000001,-74.02410905
A,POINT (-73.94643637636742 40.700882773882),Just Outside Playground,Bartlett Playground,3,Active,40.70088277,-73.94643638
D,POINT (-73.9021675592106 40.77734370139404),In Playground,Woodtree Playground,4,Active,40.7773437,-73.90216756
D,POINT (-73.7778499970458 40.6933973213301),In Playground,St. Albans Park,4,Active,40.69339732,-73.77785
E Wheelchair,POINT (-73.78494173039006 40.77293320292353),Near Ballfield,Bayside Fields,4,Active,40.7729332,-73.78494173
Other,POINT (-73.94862935830184 40.697139370228854),Just Outside Playground,Stockton Playground,3,Active,40.69713937,-73.94862936
A,POINT (-73.93771269099662 40.81553447715575),"Under Tree, In Shade, Near Ballfield, In Playground",William McCray Playground,1,Active,40.81553448,-73.93771269
C,POINT (-73.96971941441862 40.60989890679191),"Near Ballfield, Out in Open",Colonel David Marcus Playground,3,Active,40.60989891,-73.96971941
C,POINT (-73.8910387387917 40.88513894414882),"Under Tree, In Playground",Van Cortlandt Park,2,Active,40.88513894,-73.89103874
A,POINT (-73.8930380523465 40.891078902886626),Out in Open,Van Cortlandt Park,2,Active,40.8910789,-73.89303805
C,POINT (-73.83708189516916 40.72258242573024),"Out in Open, In Playground",Willow Lake Playground,4,Active,40.72258243,-73.8370819
C,POINT (-74.13574283643253 40.64105669038213),Under Tree,Faber Pool and Park,5,Active,40.64105669,-74.13574284
D,POINT (-73.86166462986172 40.743765240387575),Just Outside Playground,Josephine Caminiti Playground,4,Active,40.74376524,-73.86166463
A,POINT (-73.89800708368631 40.871460956483354),"Under Tree, In Shade",Washington's Walk,2,Active,40.87146096,-73.89800708
A,POINT (-73.82474512733376 40.849328984790375),Near Ballfield,Pelham Bay Park,2,Active,40.84932898,-73.82474513
A,POINT (-73.97398568393663 40.650934674768116),In Playground,Park,3,Active,40.65093467,-73.97398568
C,POINT (-73.75315048839656 40.706445955465426),Just Outside Playground,Hollis Playground,4,Active,40.70644596,-73.75315049
D,POINT (-73.85616300739203 40.673592249366514),Near Ballfield,Tudor Park,4,Active,40.67359225,-73.85616301
B,POINT (-73.98318445702044 40.78841398900649),Out in Open,Riverside Park,1,Active,40.78841399,-73.98318446
C,POINT (-73.8931519298397 40.89536806136843),"Out in Open, Near Ballfield",Van Cortlandt Park,2,Active,40.89536806,-73.89315193
E High Low,POINT (-73.90934067243842 40.88275898988079),,Ewen Park,2,Active,40.88275899,-73.90934067
E Wheelchair,POINT (-73.99274479582324 40.586004628730976),"Out in Open, Near Ballfield",Calvert Vaux Park,3,Active,40.58600463,-73.9927448
C,POINT (-73.90043479196501 40.75957698113524),Near Ballfield,St. Michael's Playground,4,Active,40.75957698,-73.90043479
Trough,POINT (-73.76037278183796 40.592039198718396),Out in Open,Rockaway Beach and Boardwalk,4,Active,40.5920392,-73.76037278
E Wheelchair,POINT (-73.92166085784345 40.82955947669011),"Out in Open, Just Outside Playground",Joyce Kilmer Park,2,Active,40.82955948,-73.92166086
CS Concrete,POINT (-73.95782477359556 40.80683415937563),"In Playground, Near Ballfield",Morningside Park,1,Active,40.80683416,-73.95782477
E Wheelchair,POINT (-73.96451993200124 40.782508637167005),"In Playground, Under Tree",Central Park,1,Active,40.78250864,-73.96451993
Other,POINT (-74.11051462782454 40.56087140700792),Near Ballfield,Dugan Playground,5,Active,40.56087141,-74.11051463
Bottle Filler High Low,POINT (-73.99416616467474 40.716851492421775),"Near Ballfield, Just Outside Playground",Sara D. Roosevelt Park,1,Active,40.71685149,-73.99416616
A,POINT (-73.90740043014574 40.771423678432384),In Playground,Ditmars Park,4,Active,40.77142368,-73.90740043
C,POINT (-73.8852833745765 40.83518945697288),"Out in Open, Just Outside Playground",Rock Garden Park,2,Active,40.83518946,-73.88528337
A,POINT (-74.029440407929 40.61403081740439),In Playground,John J Carty Park,3,Active,40.61403082,-74.02944041
E Wheelchair,POINT (-73.77809768598071 40.79414327838057),In Playground,Fort Totten Park,4,Active,40.79414328,-73.77809769
A,POINT (-73.90377858339662 40.72662173770441),Near Ballfield,Frank Principe Park,4,Active,40.72662174,-73.90377858
A,POINT (-73.88732231975175 40.67155810673116),"Near Ballfield, Out in Open",Sutter Ballfields,3,Active,40.67155811,-73.88732232
E Wheelchair,POINT (-73.99594844234582 40.57881601937935),"Out in Open, Near Ballfield",Kaiser Park,3,Active,40.57881602,-73.99594844
C,POINT (-73.93950688316298 40.70174172316794),"In Shade, Just Outside Playground",Bushwick Playground,3,Active,40.70174172,-73.93950688
E Wheelchair,POINT (-73.90402052009867 40.70481936177836),In Playground,Rosemary's Playground,4,Active,40.70481936,-73.90402052
E Wheelchair Child,POINT (-73.82462600119527 40.79640079758411),In Playground,Francis Lewis Park,4,Active,40.7964008,-73.824626
A,POINT (-73.93276430600275 40.801662336280906),"Under Tree, In Playground, Near Ballfield",Wagner Houses Pool,1,Active,40.80166234,-73.93276431
B,POINT (-73.97192948939477 40.76697185091454),"Under Tree, In Shade, Out in Open",Central Park,1,Active,40.76697185,-73.97192949
Other,POINT (-73.95154407009296 40.79743384530953),In Playground,Central Park,1,Active,40.79743385,-73.95154407
C,POINT (-73.99407397739898 40.67067122569325),In Playground,Ennis Playground,3,Active,40.67067123,-73.99407398
Other,POINT (-73.95452205877093 40.57938328369904),"Under Tree, Out in Open, In Playground",Babi Yar Triangle,3,Active,40.57938328,-73.95452206
C,POINT (-73.90027679113174 40.62631216677871),"Out in Open, Just Outside Playground",Canarsie Park,3,Active,40.62631217,-73.90027679
B,POINT (-74.1072325114439 40.618240702946935),Near Ballfield,Clove Lakes Park,5,Active,40.6182407,-74.10723251
Other,POINT (-74.01639233290751 40.702097767241135),Out in Open,The Battery,1,Active,40.70209777,-74.01639233
B,POINT (-73.97284897663454 40.66165629242612),"Out in Open, Near Ballfield",Prospect Park,3,Active,40.66165629,-73.97284898
D,POINT (-73.84905246513785 40.74074949569275),In Playground,Flushing Meadows Corona Park,4,Active,40.7407495,-73.84905247
D,POINT (-73.91314195077493 40.66338105096611),Out in Open,Betsy Head Park,3,Active,40.66338105,-73.91314195
D,POINT (-73.77288663439457 40.73698208053673),Near Ballfield,Cunningham Park,4,Active,40.73698208,-73.77288663
A,POINT (-73.76446412373505 40.73967978692024),Near Ballfield,Cunningham Park,4,Active,40.73967979,-73.76446412
B,POINT (-73.97025919719076 40.80456385428982),"Under Tree, Out in Open",Riverside Park,1,Active,40.80456385,-73.9702592
A,POINT (-73.92912214663403 40.83026909963716),"Under Tree, In Shade",Macombs Dam Park,2,Active,40.8302691,-73.92912215
D,POINT (-73.9111685527851 40.6880717824369),Out in Open,Tiger Playground,3,Active,40.68807178,-73.91116855
E,POINT (-73.99051706389632 40.587810667879694),"Under Tree, In Shade, In Playground",Calvert Vaux Park,3,Active,40.58781067,-73.99051706
D,POINT (-73.82003012563723 40.71048473798219),In Playground,Hoover - Manton Playgrounds,4,Active,40.71048474,-73.82003013
C,POINT (-73.89723090395988 40.8415698697005),"Out in Open, Near Ballfield",Crotona Park,2,Active,40.84156987,-73.8972309
Other,POINT (-74.01645050819003 40.707000809422155),"Under Tree, In Shade",Battery Park City Parks,1,Active,40.70700081,-74.01645051
D,POINT (-73.8393904103804 40.69037724005944),In Playground,Maurice A Fitzgerald Playground,4,Active,40.69037724,-73.83939041
E Wheelchair Child,POINT (-73.92358982520767 40.70320778135171),Out in Open,Maria Hernandez Park,3,Active,40.70320778,-73.92358983
A,POINT (-74.09941810707129 40.628109473407214),Out in Open,Silver Lake Park,5,Active,40.62810947,-74.09941811
A,POINT (-73.82772517665147 40.74225350180065),"In Shade, In Playground",Turtle Playground,4,Active,40.7422535,-73.82772518
Other,POINT (-73.93398585066802 40.80564459996445),"Under Tree, Near Ballfield",Harlem River Park,1,Active,40.8056446,-73.93398585
E Wheelchair,POINT (-73.94294465413668 40.57675042441337),Out in Open,Manhattan Beach Park,3,Active,40.57675042,-73.94294465
C,POINT (-73.89949363350301 40.662611451347985),In Playground,Lion's Pride Playground,3,Active,40.66261145,-73.89949363
Bottle Filler Fountain,POINT (-73.97158636495313 40.66556955144558),Out in Open,Prospect Park,3,Active,40.66556955,-73.97158636
A,POINT (-73.91645520794323 40.88638539447935),Out in Open,Seton Park,2,Active,40.88638539,-73.91645521
E Wheelchair,POINT (-73.96415234272295 40.57475764519486),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57475765,-73.96415234
CS Concrete,POINT (-73.80606687762636 40.730771473268184),Just Outside Playground,Emerald Playground,4,Active,40.73077147,-73.80606688
A,POINT (-74.08945487116404 40.60232378781316),Just Outside Playground,Naples Playground,5,Active,40.60232379,-74.08945487
A,POINT (-73.96989088363769 40.74811462120459),Near Ballfield,Robert Moses Playground,1,Active,40.74811462,-73.96989088
E Wheelchair Dog,POINT (-73.79282486515473 40.78788968321793),Out in Open,Little Bay Park,4,Active,40.78788968,-73.79282487
A,POINT (-73.97250612252115 40.72354559499008),Near Ballfield,John V. Lindsay East River Park,1,Active,40.72354559,-73.97250612
C,POINT (-73.92203193498334 40.658532607243316),In Playground,Kennedy King Playground,3,Active,40.65853261,-73.92203193
Bottle Filler Fountain,POINT (-73.91818870004563 40.695306327208904),"Out in Open, Near Ballfield",Heckscher Playground,3,Active,40.69530633,-73.9181887
A,POINT (-73.91294351447372 40.81383382465372),"Under Tree, In Shade",St. Mary's Park,2,Active,40.81383382,-73.91294351
D,POINT (-73.97359441768938 40.69020172401395),In Playground,Fort Greene Park,3,Active,40.69020172,-73.97359442
A,POINT (-73.79290222287864 40.868784535448825),Out in Open,Pelham Bay Park,2,Active,40.86878454,-73.79290222
D,POINT (-73.92555313268977 40.66665747775976),Under Tree,Lincoln Terrace / Arthur S. Somers Park,3,Active,40.66665748,-73.92555313
D,POINT (-73.82599270248146 40.820661608760844),"Near Ballfield, Out in Open",Ferry Point Park,2,Active,40.82066161,-73.8259927
A,POINT (-73.72917554643897 40.68481671604713),Under Tree,Delphin H. Greene Playground,4,Active,40.68481672,-73.72917555
C,POINT (-73.97456458989275 40.71835186907539),"Under Tree, Near Ballfield",John V. Lindsay East River Park,1,Active,40.71835187,-73.97456459
